ID,主類別,次類別,任務,範例提示 (Prompt),關鍵要素與原理
2.3-1,第 2 節：核心互動技巧：精準提示工程,2.3 模式驅動開發：以設計模式作為提示的鷹架,使用工廠模式實作資料匯出器,"請使用 Python 實作一個**工廠模式 (Factory Pattern)**.\n\n1. **意圖**：根據指定的格式字串 (`\'json\'`, `\'csv\'`, `\'xml\'`)，建立對應的資料匯出器物件 (Data Exporter)。\n2. **角色定義**：\n    - **Product (產品)** 介面叫做 `Exporter`，它必須定義一個 `export(data: dict) -> str` 的抽象方法。\n    - **ConcreteProduct (具體產品)** 包括 `JsonExporter`、`CsvExporter` 和 `XmlExporter`。\n    - **Creator (創建者)** 是一個名為 `ExporterFactory` 的類別，它有一個靜態方法 `get_exporter(format: str) -> Exporter`。\n3. **約束**：如果傳入未知的格式，工廠方法應拋出 `ValueError`。",**模式驅動** (`工廠模式`)：明確指定設計模式，利用 AI 對模式的深度理解生成結構優良的程式碼。**角色定義** (`Product`, `ConcreteProduct`, `Creator`)：清晰定義模式中的各個角色及其對應的業務概念。**具體約束** (`ValueError`)：確保 AI 處理邊界情況和錯誤。
2.3-2,第 2 節：核心互動技巧：精準提示工程,2.3 模式驅動開發：以設計模式作為提示的鷹架,使用策略模式設計折扣計算模組,"我需要為一個電商結帳系統設計折扣模組。請使用 Python 的**策略模式 (Strategy Pattern)** 來實作。\n\n1. **Context (上下文)** 角色是一個名為 `ShoppingCart` 的類別。它有一個 `items` 列表（每個 item 是一個有 `price` 屬性的物件）和一個 `set_discount_strategy` 方法。它最重要的方法是 `calculate_final_price()`。\n2. **Strategy (策略)** 介面是 `DiscountStrategy`，它需要一個 `calculate(total_price: float) -> float` 的抽象方法。\n3. **ConcreteStrategy (具體策略)** 至少實作三個：\n    - `NoDiscountStrategy`: 回傳原價。\n    - `PercentageDiscountStrategy(percentage)`: 計算百分比折扣。\n    - `FixedDiscountStrategy(amount)`: 折抵一個固定金額。\n\n請提供完整的程式碼與使用範例。",**模式驅動** (`策略模式`)：將演算法從主體中分離，提高系統彈性與擴展性。**角色定義** (`Context`, `Strategy`, `ConcreteStrategy`)：明確定義模式中的各個角色及其職責。**完整範例**：要求提供完整的程式碼與使用範例，確保可直接應用。
2.4-1,第 2 節：核心互動技巧：精準提示工程,2.4 測試驅動提示：用測試案例定義需求,使用測試驅動提示實作版本號解析函式,"我正在實作一個版本號解析器。這裡有一組為它編寫的 `pytest` 測試案例。\n\n請你提供一個名為 `version_parser.py` 的 Python 檔案，裡面包含一個 `parse_version_string` 函式。這個函式的實作必須能夠**完全通過**以下所有的測試。\n\nPython\n\n```\n# test_version_parser.py\nimport pytest\nfrom version_parser import parse_version_string # 假設目標檔案與函式名\n\ndef test_full_version():\n    """測試完整的 major.minor.patch 格式"""\n    assert parse_version_string("1.2.3") == (1, 2, 3)\n\ndef test_with_v_prefix():\n    """測試帶有 \'v\' 前綴的格式"""\n    assert parse_version_string("v2.10.1") == (2, 10, 1)\n\ndef test_minor_version_only():\n    """測試只有 major.minor 的格式，patch 應為 0"""\n    assert parse_version_string("3.5") == (3, 5, 0)\n\ndef test_major_version_only():\n    """測試只有 major 的格式，minor 和 patch 應為 0"""\n    assert parse_version_string("4") == (4, 0, 0)\n    assert parse_version_string("v5") == (5, 0, 0)\n\ndef test_invalid_format():\n    """測試無效輸入，應拋出 ValueError"""\n    with pytest.raises(ValueError):\n        parse_version_string("1.a.3")\n    with pytest.raises(ValueError):\n        parse_version_string("invalid")\n    with pytest.raises(ValueError):\n        parse_version_string("1.2.3.4")\n```\n\n請確保你的實作足夠健壯，能夠處理所有測試中涵蓋的情況。",**測試驅動提示** (`pytest` 測試案例)：將需求轉化為精確的、可執行的測試案例，消除歧義。**可驗證的正確性**：程式碼必須通過所有測試，抵抗 LLM 幻覺。**邊界條件**：透過測試案例迫使 AI 考慮各種邊界情況。
3.1-1,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用註解引導 Copilot 生成函式,"Python\n\n```\n# 函式名稱: download_file_with_retry\n# 功能描述: 從指定的 URL 下載檔案到本地路徑，並實作指數退避的重試機制。\n# 參數:\n#   url (str): 要下載的檔案 URL。\n#   local_path (str): 儲存檔案的本地路徑。\n#   max_retries (int): 最大重試次數，預設為 3。\n# 回傳值:\n#   bool: 成功時回傳 True，在所有重試失敗後回傳 False。\n# 可能引發的錯誤:\n#   ValueError: 當 URL 格式無效時。\n#\n```\n\n當您寫完這段註解並換行後，Copilot 幾乎能一字不差地生成一個結構完整、包含錯誤處理與重試邏輯的高品質函式，因為您已經為它提供了完整的規格說明書。",**註解藍圖**：透過詳細的註解提供函式規格，精準引導 AI 生成程式碼。**高品質產出**：AI 能生成結構完整、包含錯誤處理的函式。
3.1-2,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用函式簽名和 Docstring 引導 Copilot 生成程式碼,"Python\n\n```\nimport pandas as pd\n\ndef clean_sales_data(df: pd.DataFrame, columns_to_drop: list[str] = None) -> pd.DataFrame:\n    """\n    清理並預處理銷售數據 DataFrame。\n\n    此函式會執行以下操作：\n    1. 複製一份原始 DataFrame 以避免修改原物件。\n    2. 如果提供了 columns_to_drop，則刪除指定欄位。\n    3. 將 \'order_date\' 欄位轉換為 datetime 物件。\n    4. 填充 \'unit_price\' 和 \'quantity\' 欄位的缺失值為 0。\n    5. 移除 \'customer_id\' 為空的資料列。\n\n    Args:\n        df (pd.DataFrame): 包含銷售數據的原始 DataFrame。\n        columns_to_drop (list[str], optional): 需要被移除的欄位列表. Defaults to None.\n\n    Returns:\n        pd.DataFrame: 清理完成後的 DataFrame。\n    """\n    # 將游標停在這裡，Copilot 將會根據您的 Docstring 逐一完成上述步驟\n    \n```\n\nCopilot 會閱讀您的 Docstring，將其視為一個步驟清單，並生成符合描述的程式碼。",**函式簽名與 Docstring**：提供清晰的函式定義和詳細的說明，引導 AI 逐步完成實作。**Pythonic 引導**：利用 Python 慣例提升生成程式碼的品質和可讀性。
3.1-3,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用範例引導 Copilot 學習程式碼模式,"Python\n\n```\n# 定義 API 回應的錯誤碼與訊息\nERROR_CODES = {\n    1001: "Invalid API Key",\n    1002: "User not found",\n    1003: "Permission denied",\n    # 將游標停在這裡，Copilot 會自動建議 1004, 1005... \n    # 並且根據上下文猜測可能的錯誤訊息，例如 "Request timeout" 或 "Invalid parameter"。\n}\n```",**範例引導**：透過提供少量範例，讓 AI 學習並遵循程式碼模式，自動補全相似結構。**模式學習**：AI 能自動建議後續相似的內容。
3.1-4,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用 @workspace 理解 Django 專案使用者模型擴展,"`@workspace 我的 Django 專案中，使用者模型 (User Model) 是如何擴展的？請找出相關的 models.py 和 settings.py 中的設定。`",**全域上下文** (`@workspace`)：讓 AI 理解整個專案結構，進行專案級的分析。**專案架構理解**：快速找出相關設定和檔案，加速專案上手。
3.1-5,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用 @workspace 生成符合專案風格的驗證函式,"`@workspace 根據我現有的`utils/validators.py`檔案風格，幫我寫一個新的函式，用來驗證台灣的手機號碼格式。`",**風格一致性**：AI 根據現有檔案風格生成新程式碼，確保專案風格統一。**專案上下文**：利用專案內部的程式碼作為參考，生成更符合需求的內容。
3.1-6,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用 @workspace 進行 Flask 專案快取機制開發規劃,"`@workspace 我想為這個 Flask 專案加入一個基於 Redis 的快取機制，我應該在哪幾個檔案中進行修改？請提供一個初步的實作步驟。`",**開發規劃**：AI 提供初步實作步驟和修改檔案建議，輔助高層次開發規劃。**系統性思考**：幫助開發者從整體角度考慮變更影響。
3.1-7,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,解釋複雜的正規表示式函式,"(選取一段充滿正規表示式的函式後)\n\n請用中文詳細解釋這段程式碼的功能，特別是每一部分正規表示式的含義。",**程式碼理解**：AI 詳細解釋複雜程式碼，包括正規表示式，加速理解。**上下文提問**：直接選取程式碼提問，獲得精準解釋。
3.1-8,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,重構冗長函式以分離資料庫查詢,"(選取一個冗長的函式後)\n\n請將這段程式碼重構。將資料庫查詢的部分獨立成一個函式，並將硬編碼的 SQL 查詢參數化以防止 SQL Injection。",**智能重構**：AI 根據指令重構程式碼，提升可讀性、可維護性和安全性。**安全考量**：自動考慮 SQL Injection 等安全問題。
3.1-9,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,根據 Traceback 輔助除錯 ZeroDivisionError,"(將終端機中的 Python Traceback 錯誤訊息貼入聊天視窗)\n\n我執行程式時遇到了這個錯誤：[貼上 Traceback]。錯誤訊息顯示問題出在ZeroDivisionError，請根據我目前開啟的analytics/report.py檔案，找出可能造成這個錯誤的程式碼位置並提供修正建議。",**輔助除錯**：AI 分析錯誤訊息和程式碼，找出錯誤位置並提供修正建議。**高效排查**：縮短故障排除時間。
3.1-10,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用 /fix 修正排序演算法邏輯錯誤,"/fix 請修正這個排序演算法中的邏輯錯誤，它在處理包含重複元素的列表時會出錯。",**自動修正** (`/fix`)：AI 直接提供修正後的程式碼，簡化錯誤修復流程。**精準定位**：針對特定邏輯錯誤進行修正。
3.1-11,第 3 節：工具鏈整合與工作流革新,3.1 精通 GitHub Copilot：從自動完成到智能副駕,使用 /tests 為函式生成單元測試,"/tests 請為這個函式產生一組使用 pytest 框架的單元測試，需要包含正常情況、邊界條件和無效輸入的測試案例。",**自動生成測試** (`/tests`)：AI 為函式生成全面的單元測試，提升測試覆蓋率。**效率提升**：節省編寫測試 boilerplate 的時間。
3.2-1,第 3 節：工具鏈整合與工作流革新,3.2 整合式 AI 助理的威力 (Gemini Code Assist / Jules),使用內部驗證模組擴充 Flask API 端點,"`我需要擴充我們的 \'order-management-service\\'。請**參考 \'common/auth_utils.py\' 中現有的`require_auth`裝飾器**，為我產生一個新的 API 端點`/orders/{order_id}/cancel`的 Flask 路由函式框架。`",**企業級程式碼庫接地**：AI 根據公司內部程式碼庫生成符合規範的程式碼。**風格一致性**：確保使用組織內的標準工具和實踐。
3.2-2,第 3 節：工具鏈整合與工作流革新,3.2 整合式 AI 助理的威力 (Gemini Code Assist / Jules),撰寫 Google Cloud Function 產生 GCS 簽名 URL,"`請幫我寫一個 Python 3.12 的 Google Cloud Function。\n\n1. 觸發條件是檔案上傳到名為 \'user-uploads-bucket\' 的 GCS 儲存桶。\n2. 函式的功能是為這個新上傳的檔案，產生一個有效期限為 1 小時的簽名 URL (v4 signing process)。\n3. 最後將這個 URL 記錄到 Cloud Logging 中。 請使用 \'google-cloud-storage\' 函式庫。`",**生態系無縫整合**：AI 精通 GCP 服務，生成高度相關的雲端原生程式碼。**自動化雲端操作**：簡化雲端資源操作和配置。
3.2-3,第 3 節：工具鏈整合與工作流革新,3.2 整合式 AI 助理的威力 (Gemini Code Assist / Jules),生成 Google Cloud SQL Terraform 設定檔,"`我需要一個 Terraform 設定檔，用來建立一個 Google Cloud SQL for PostgreSQL 的執行個體，規格為 db-n1-standard-2，並開啟每日自動備份。`",**IaC 生成**：AI 生成雲端基礎設施程式碼，加速基礎設施部署。**精確配置**：根據詳細規格生成精確的設定檔。
3.2-4,第 3 節：工具鏈整合與工作流革新,3.2 整合式 AI 助理的威力 (Gemini Code Assist / Jules),檢查 GCS 儲存桶 Terraform 設定檔的安全性,"(選取一段建立 GCS 儲存桶的 Terraform 程式碼後) 請檢查這段 HCL 程式碼，確保它沒有將儲存桶設定為公開存取，並且開啟了版本控制功能。",**安全審查**：AI 分析 IaC 設定檔，找出潛在安全風險和不符合政策的地方。**自動化安全檢查**：提升基礎設施的安全性。
3.2-5,第 3 節：工具鏈整合與工作流革新,3.2 整合式 AI 助理的威力 (Gemini Code Assist / Jules),分析 Cloud Run 記憶體不足錯誤並提供建議,"`我的 Cloud Run 服務日誌中出現了大量的記憶體不足 (OOM) 錯誤。請分析可能的原因，並提供調整服務設定或優化程式碼的建議。`",**營運輔助**：AI 分析日誌並提供故障排除建議，縮短問題解決時間。**智能排查**：結合日誌和服務特性提供優化方案。
3.3-1,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,使用 @workspace 快速理解 Flask 專案初始化結構,"`@workspace 這個 Flask 專案的應用程式是如何被初始化的？請為我找出：\n\n1. 主要的應用程式工廠 (app factory) 函式在哪個檔案中。\n2. 專案的設定檔 (config) 是如何被載入的。\n3. 整個專案中，所有被註冊的藍圖 (Blueprints) 及其對應的 URL 前綴。`",**專案級深度問答**：AI 快速分析整個專案，提供宏觀架構視圖。**加速上手**：幫助開發者快速理解陌生專案的結構。
3.3-2,第 3 節：工具鏈整合與工作流革新,3.3 Google Jules (Gemini Code Assist) 實戰技巧,使用 @workspace 評估修改 Pydantic 模型對專案的影響,"`@workspace 我計畫修改`src/models/user_models.py`檔案中的`UserModel`Pydantic 模型，為其新增一個`last_login_at: datetime | None`的選用欄位。請全面掃描整個工作區，找出所有直接或間接使用到`UserModel`的地方，並條列出這次修改可能會造成潛在影響的檔案與函式。`",**影響力分析**：AI 執行全域依賴關係查找，評估變更風險。**風險管理**：在變更前全面掌握潛在影響，降低開發風險。
